[03:19:29] [ServerMain/ERROR]: Failed to load properties from file: server.properties
java.nio.file.NoSuchFileException: server.properties
	at sun.nio.fs.UnixException.translateToIOException(UnixException.java:92) ~[?:?]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:106) ~[?:?]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:111) ~[?:?]
	at sun.nio.fs.UnixFileSystemProvider.newByteChannel(UnixFileSystemProvider.java:261) ~[?:?]
	at java.nio.file.Files.newByteChannel(Files.java:379) ~[?:?]
	at java.nio.file.Files.newByteChannel(Files.java:431) ~[?:?]
	at java.nio.file.spi.FileSystemProvider.newInputStream(FileSystemProvider.java:420) ~[?:?]
	at java.nio.file.Files.newInputStream(Files.java:159) ~[?:?]
	at ahi.b(SourceFile:62) ~[server-1.20.1.jar:?]
	at ahf.a(SourceFile:137) ~[server-1.20.1.jar:?]
	at ahg.<init>(SourceFile:12) ~[server-1.20.1.jar:?]
	at net.minecraft.server.Main.main(SourceFile:115) ~[server-1.20.1.jar:?]
	at net.minecraft.bundler.Main.lambda$run$0(Main.java:54) ~[?:?]
	at java.lang.Thread.run(Thread.java:1583) ~[?:?]
[03:19:29] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[03:19:32] [ServerMain/INFO]: Loaded 7 recipes
[03:19:32] [ServerMain/INFO]: Loaded 1271 advancements
[03:19:32] [Server thread/INFO]: Starting minecraft server version 1.20.1
[03:19:32] [Server thread/INFO]: Loading properties
[03:19:32] [Server thread/INFO]: Default game type: SURVIVAL
[03:19:32] [Server thread/INFO]: Generating keypair
[03:19:33] [Server thread/INFO]: Starting Minecraft server on *:25565
[03:19:33] [Server thread/INFO]: Using epoll channel type
[03:19:33] [Server thread/INFO]: Preparing level "world"
[03:19:45] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[03:19:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:19:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
